username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@kingofpamulang,Tiket masuk prj bs beli online ga si?,in,,,,56,2023-07-08T17:03:42.000Z,/kingofpamulang/status/1677725157157388288
@gigizoroi,Prj tuh sampe kapan ya?,in,,,,30,2023-07-08T17:01:08.000Z,/gigizoroi/status/1677724509191954434
@johflamer,kalo dapet crowded kek gitu mending taeyong ke prj sekalian dehhhh sekalian konseran artis lokal,in,,,,122,2023-07-08T16:56:35.000Z,/johflamer/status/1677723364243435528
@efkabur,dia mo ke prj katanya dit,in,1,,,34,2023-07-08T16:52:52.000Z,/efkabur/status/1677722429840584704
@navghti,"orang” pada ke jkt karna acara prj, aku mau kesana ga ada temen yang mau:))",in,,,,40,2023-07-08T16:48:00.000Z,/navghti/status/1677721207133831169
@kerasnyalyfe,Gaada yg lebih sayang dari Japota Happy Honey Butter di dunia ini selain gwa! Borong dua lusin dari PRJ!,in,1,,1,137,2023-07-08T16:44:40.000Z,/kerasnyalyfe/status/1677720366117187584
@honeeystaars,kakak gue beli snack yg di prj TRS GUE MAKAN INI TRS TERNYATA ENAK,in,,,,26,2023-07-08T16:44:15.000Z,/honeeystaars/status/1677720259795771393
@nanodoyie,"Yuk siapa lagi yang mau jastip sale Victoria secret, bisa langsung dm aku xuss. besok hari terakhir sale yaa",in,,,,99,2023-07-08T16:40:07.000Z,/nanodoyie/status/1677719220594053121
@halobudum,"Taun kemaren gue ampe nangis karna gak boleh ikut event brand ke PRJ pas collab sm Jerome, tahun ini entah bulan keberapa gue dah unfoll dia. Gatau deh kenapa",in,,,,92,2023-07-08T16:38:19.000Z,/halobudum/status/1677718768104132609
@anaknakal9999,udah 12 tahun merantau di jakarta tapi belum pernah ke prj :(,in,,,,73,2023-07-08T16:36:24.000Z,/anaknakal9999/status/1677718286296047616
@rohmatilah_jae,Baru ninggalin anak ke PRJ bentar aja rasanya udah kangen berat,in,,,,37,2023-07-08T16:35:50.000Z,/rohmatilah_jae/status/1677718144599859200
@peachigx,"barusan maen ke PRJ jg segitu buanyaaakkk yg jualan, ampe dikasih diskon + bonus macem2, ttp aja bingung mau beli apa. ya mungkin krn semua yg dibutuhin udh ada di rumah.

yg dibutuhin lho ya, bukan yg dipengen.",in,1,,,76,2023-07-08T16:34:22.000Z,/peachigx/status/1677717773710163968
@notyourfckgirls,blok m kayk prj asw,in,1,1,1,331,2023-07-08T16:33:01.000Z,/notyourfckgirls/status/1677717433472401410
@plebengers,@caalvocados besok prj khh lau?,in,1,,,44,2023-07-08T16:28:29.000Z,/plebengers/status/1677716294391697408
@chocovanilaa_,"Banget si, mana tadi bener bener kelilingin prj. Untung gk smaput",in,1,,,25,2023-07-08T16:27:53.000Z,/chocovanilaa_/status/1677716144260804608
@sehunapiyak10,"EXO-L mana suaranyaaadalam rangka EXO mau cb dan tanggal cb sama kaya tgl ulang tahun aku, aku mau Give Away tiket masuk PRJ nih buat besok 09 Juli ada yang mau kah??? Aku pilih secara random aja boleh komen disini yaa
#EXO_CreamSoda #EXO_EXIST
#EXO",in,,,,91,2023-07-08T16:27:21.000Z,/sehunapiyak10/status/1677716009644617730
@nara_yya,waktu itu aku ketemu ga sengaja ketemu hansol di prj TAPI GA SEMEPET FOTO KRNA GW NYA NGELAG skrng aku mau ketemu taeyong ya Allah dimana aja yg penting ketemu pls bgtt ini mah ,in,1,,,104,2023-07-08T16:25:26.000Z,/nara_yya/status/1677715525890363393
@heyhellosya,"emak gue, prj part 2 kali ini dia nelponin mulu pdhl w pigi bareng tante om w",in,,,,31,2023-07-08T16:23:47.000Z,/heyhellosya/status/1677715110708776960
@tyaaarrrr,"Haloo sebelumnya aku minta maaf tiektnya uda sold out semua, buat yg udah dm dari tadi mohon maaf baru aku cek karna tadi di prj sinyalnya ilang""an. Makasih yaa",in,,,,33,2023-07-08T16:19:49.000Z,/tyaaarrrr/status/1677714111487176705
@estcalypse,prj rame bgt????,in,,,,37,2023-07-08T16:19:34.000Z,/estcalypse/status/1677714050728464386
@estcalypse,woi aku baru pulang dari prj,in,1,,1,34,2023-07-08T16:19:24.000Z,/estcalypse/status/1677714006109470720
@jehyunpeaches,kenapa ga ajak bubu ke prj aja? kotu kan gaada apa apa kalo udah malem selain jajanan kaki lima,in,,,,51,2023-07-08T16:14:53.000Z,/jehyunpeaches/status/1677712870212259842
@zazapata44,Prj bareng kuys,in,,,,20,2023-07-08T16:13:39.000Z,/zazapata44/status/1677712562253856769
@kazerhaya,Awalnya mau mampir ke PRJ tapi udah keburu capek sama banyaknya orang. Jadi lewat doang.,in,,,,117,2023-07-08T16:13:04.000Z,/kazerhaya/status/1677712413729382401
@SayangCheolie,"Funfact, bantal ini dikasih sm mba² gtu krn ak ngasih dia bangku pas di dlm Tj (pas otw ke PRJ), trus abis itu ngobrol dikit trus dia nyuruh ke boothnya nanti krn dia mau ngasih sesuatu ktnya
Eh ternyata pas lg muter ngikutin ibu, kita malah lewatin booth dia beneran...",in,1,,,60,2023-07-08T16:11:17.000Z,/SayangCheolie/status/1677711965295370240
@1999mk02,Apa besok jgnign juga dibawa ke prj sama si jerome,in,1,,,83,2023-07-08T16:09:39.000Z,/1999mk02/status/1677711553897054208
@chocovanilaa_,"Jalan kaki biasa mau smaput, muterin prj kuat wkwkwk",in,,,,34,2023-07-08T16:08:27.000Z,/chocovanilaa_/status/1677711250594344961
@koyeshhh,Bubu ke Kota Tua. Nggak heran kalo besok pulang manggung ke PRJ ,in,,,,70,2023-07-08T16:07:37.000Z,/koyeshhh/status/1677711040489062400
@mrharpot,ayo main ke prj wkwk,in,,,,57,2023-07-08T16:07:26.000Z,/mrharpot/status/1677710996788633600
@footnote_me,"Ngebayangin PRJ rame aja udh maless batt ke PRJ. Dah pasti bakal enegg . Palagi tiket masuk gocap tp isi pameran tuh brg2 umum yg bisa dibeli onlen jg..tidaa worth it tentunya utk kaum mendang mending kek aku.

Mending ke jiexpo kemayoran belanja peralatan dapur yg unik2 :p",in,,,,44,2023-07-08T16:05:31.000Z,/footnote_me/status/1677710512010956801
@SayangCheolie,"Hasil dari PRJ

Kecuali Yona, ikut²an aja dia mau di foto
Mana mukanya melas ga dibeliin apa²

Ga muter banyak soalnya ngikutin ibu sm tante aja",in,,1,,407,2023-07-08T16:04:02.000Z,/SayangCheolie/status/1677710141624549377
@sidetadashi,"sungguh ramai, PRJ malam ini.",in,1,,1,115,2023-07-08T16:02:59.000Z,/sidetadashi/status/1677709878268407809
