username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@arahlogika,mau ke prj tapi yg tampil ga menarik2,in,,,,37,2023-06-15T18:20:38.000Z,/arahlogika/status/1669409594295332864
@ariesgaknakal,"Sehabis mandi setelah menempuh perjalanan dari PRJ ke depok city.
Berasa kembali suci gw",in,1,,,360,2023-06-15T18:19:44.000Z,/ariesgaknakal/status/1669409371443572736
@chwisbuncis,'ngecas' dulu ya guys abis dr prj byeeee,in,,,,20,2023-06-15T18:16:04.000Z,/chwisbuncis/status/1669408448340168704
@nexkko,mau ke prj cm males,in,,,,55,2023-06-15T18:06:46.000Z,/nexkko/status/1669406104948989952
@beneranjadi,liburan ke Bali bisa kok bg messi abis maen di GBK ke prj juga sabi,in,,,,45,2023-06-15T18:05:53.000Z,/beneranjadi/status/1669405882130759680
@sickradd,Dikecewakan prj.,in,,,,30,2023-06-15T17:52:35.000Z,/sickradd/status/1669402538431631366
@honedews,AKU LIAT DI PENGUMUMAN TOA PRJ ORG ILANG KM ANAK YG KUNCIR DUA BAJU MONOKOROBO KAN  *jaka tarub muncul* jeng.. OMG TBTB DISERANG MENDADAK OLEH GAJAH MADA (BKN NAMA KAMPUS) APAKAH DYAH PITALOKA AKAN MENEMUKAN CINTANYA???,in,1,,,91,2023-06-15T17:52:08.000Z,/honedews/status/1669402423436382208
@InfoJktCom,Cara Beli Tiket PRJ Kemayoran 2023 dan Daftar Harganya - detikNews - Detikcom http://dlvr.it/SqkcJV,in,,,,111,2023-06-15T17:42:36.000Z,/InfoJktCom/status/1669400025699618819
@sutoyobudi2,Wah iya bisa jadi ini. Kalo di PRJ ini ada test drive Wuling Almaz juga ga ya ini?,in,1,,,40,2023-06-15T17:38:08.000Z,/sutoyobudi2/status/1669398900812443649
@sutoyobudi2,Di gaskeun atuh bro haha ke PRJ buat liat Wuling Almaz plus promo nyaa,in,1,,,192,2023-06-15T17:37:27.000Z,/sutoyobudi2/status/1669398727851933696
@rio_son_of_odin,PRJ lagi,in,1,,,32,2023-06-15T17:34:25.000Z,/rio_son_of_odin/status/1669397966472515584
@peopletho,Ini orang orang ngapa serentak ngajak gw ke PRJ dah busett.,in,,,,27,2023-06-15T17:22:00.000Z,/peopletho/status/1669394841720221696
@utaa69,"Mau banget ke PRJ, pada ga ada yg mau ke PRJ orang orang haha",in,,,,56,2023-06-15T17:20:25.000Z,/utaa69/status/1669394440127905822
@samoyedthing,Oh prj udah ada lagi,in,,,,41,2023-06-15T17:19:15.000Z,/samoyedthing/status/1669394146770190336
@alzaela008,"buseng abis konser summer langsung konser prj, trus event lg... ckckck ga napas",in,,,2,"1,188",2023-06-15T17:16:36.000Z,/alzaela008/status/1669393480500809729
@haechanways,Info loke prj,in,,,,30,2023-06-15T17:12:48.000Z,/haechanways/status/1669392524807634944
@shofyaf,hueeee ya mau gimana lagi kak prj ampe kapan jar???,in,,,,27,2023-06-15T17:09:35.000Z,/shofyaf/status/1669391717248950272
@KintanMvp,Mau ke prj,in,,,,45,2023-06-15T17:08:59.000Z,/KintanMvp/status/1669391564064575488
@wanitamuw,Wkwkwk kosyak bgt masuk fyp tiktok prj,in,,,,30,2023-06-15T17:06:20.000Z,/wanitamuw/status/1669390897677733888
@wrkhlc,Aku open jastip prj nih barenbliss disc 50% all itemn,in,2,,,612,2023-06-15T17:04:23.000Z,/wrkhlc/status/1669390409037139968
@HariandiLion_D,PRJ sekarang udah ga jd tempat pesta rakyat.,in,,,,22,2023-06-15T17:03:51.000Z,/HariandiLion_D/status/1669390273632415744
